epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.639,0.45975,1.28245,1.2779,0.66836,0.64375,0.71539,0.6931,0.36133,0.9858,0.62785,0.000256187,0.000256187,0.000256187
2,463.897,0.26625,1.15432,1.05922,0.60039,0.65468,0.68928,0.67741,0.27548,0.92037,0.45422,0.00048715,0.00048715,0.00048715
3,697.445,0.25907,1.17096,1.05015,0.62098,0.64025,0.6915,0.68314,0.23965,0.94399,0.38715,0.000692737,0.000692737,0.000692737
4,924.665,0.25428,1.1731,1.04281,0.5806,0.66376,0.68316,0.68158,0.23774,0.95978,0.38505,0.000654804,0.000654804,0.000654804
5,1150.61,0.23516,1.14871,1.02853,0.64183,0.63192,0.71011,0.70725,0.27405,0.90449,0.40517,0.000616738,0.000616738,0.000616738
6,1376.66,inf,1.13283,1.02251,0.64296,0.67185,0.71479,0.71352,0.23607,0.91606,0.34075,0.000578672,0.000578672,0.000578672
7,1601.85,0.21349,1.1176,1.01083,0.66734,0.65328,0.71533,0.71186,0.22142,0.90723,0.32317,0.000540607,0.000540607,0.000540607
8,1827.07,0.20667,1.09245,1.00529,0.63731,0.67752,0.72596,0.72167,0.22664,0.94336,0.33912,0.000502541,0.000502541,0.000502541
9,2052.55,0.20313,1.07909,1.00408,0.66625,0.69696,0.7513,0.74709,0.23762,0.83504,0.33459,0.000464476,0.000464476,0.000464476
10,2278.22,0.19347,1.06672,0.99754,0.67805,0.70718,0.75823,0.75529,0.21746,0.79719,0.29827,0.000426411,0.000426411,0.000426411
11,2513.47,0.0455,0.81119,0.90825,0.67483,0.73031,0.76536,0.76484,0.19424,0.85082,0.24713,0.000388345,0.000388345,0.000388345
12,2751.33,0.03637,0.76346,0.90298,0.69761,0.67934,0.75384,0.7497,0.21952,0.92152,0.24987,0.00035028,0.00035028,0.00035028
13,2981.11,0.03307,0.73182,0.90349,0.75431,0.69934,0.79107,0.79073,0.19203,0.80474,0.24641,0.000312214,0.000312214,0.000312214
14,3214.13,0.03013,0.6964,0.9014,0.71018,0.72984,0.78699,0.7868,0.18005,0.79159,0.23269,0.000274148,0.000274148,0.000274148
15,3448.64,0.02888,0.66914,0.901,0.75858,0.72508,0.81,0.80992,0.17344,0.74936,0.2218,0.000236083,0.000236083,0.000236083
16,3683.57,0.02803,0.63882,0.89891,0.76649,0.71475,0.80708,0.80666,0.18903,0.79101,0.23236,0.000198018,0.000198018,0.000198018
17,3918.03,0.0256,0.61306,0.89804,0.75732,0.73618,0.81421,0.81278,0.18377,0.80543,0.21629,0.000159952,0.000159952,0.000159952
18,4151.54,0.02406,0.59408,0.90135,0.75448,0.74749,0.81541,0.81338,0.19482,0.81979,0.2205,0.000121887,0.000121887,0.000121887
19,4385.81,0.02279,0.56682,0.90039,0.7782,0.73229,0.81816,0.8181,0.15365,0.73521,0.19706,8.3821e-05,8.3821e-05,8.3821e-05
20,4620.05,0.02154,0.54368,0.89908,0.75815,0.75832,0.81898,0.81898,0.15664,0.72658,0.20318,4.57555e-05,4.57555e-05,4.57555e-05
